SecurityID | ExchangeID | TypeID | Ticker | Name
1          | 1          | 1      | MMM    | 3M Co.
2          | 1          | 1      | ACE    | ACE Limited
3          | 1          | 1      | ABT    | Abbott Laboratories
4          | 1          | 1      | ANF    | Abercrombie & Fitch Company A
5          | 1          | 1      | AC     | Accenture
6          | 2          | 1      | ADBE   | Adobe Systems Inc
7          | 1          | 1      | AMD    | Advanced Micro Devices
8          | 1          | 1      | AES    | AES Corp
9          | 1          | 1      | AET    | Aetna Inc
10         | 1          | 1      | AFL    | AFLAC Inc
11         | 1          | 1      | A      | Agilent Technologies Inc
12         | 1          | 1      | GAS    | AGL Resources Inc.
13         | 1          | 1      | APD    | Air Products & Chemicals Inc
14         | 1          | 1      | ARG    | Airgas Inc
15         | 2          | 1      | AKAM   | Akamai Technologies Inc
16         | 1          | 1      | AA     | Alcoa Inc
17         | 2          | 1      | ALX    | Alexion Pharmaceuticals
18         | 1          | 1      | ATI    | Allegheny Technologies Inc
19         | 1          | 1      | AG     | Allergan Inc
20         | 1          | 1      | ALL    | Allstate Corp
21         | 2          | 1      | ALTR   | Altera Corp
22         | 1          | 1      | MO     | Altria Group Inc
23         | 2          | 1      | AMZ    | Amazon.com Inc
24         | 1          | 1      | AEE    | Ameren Corp
25         | 1          | 1      | AEP    | American Electric Power
26         | 1          | 1      | AXP    | American Express Co
27         | 1          | 1      | AIG    | American Intl Group Inc
28         | 1          | 1      | AMT    | American Tower Corp A
29         | 1          | 1      | AMP    | Ameriprise Financial
30         | 1          | 1      | ABC    | AmerisourceBergen Corp
31         | 2          | 1      | AMG    | Amgen Inc
32         | 2          | 1      | APH    | Amphenol Corp A
33         | 1          | 1      | APC    | Anadarko Petroleum Corp
34         | 1          | 1      | ADI    | Analog Devices Inc
35         | 1          | 1      | AO     | Aon plc
36         | 1          | 1      | APA    | Apache Corporatio,
37         | 1          | 1      | AIV    | Apartment Investment & Mgmt
38         | 2          | 1      | APOL   | Apollo Group Inc
39         | 2          | 1      | AAPL   | Apple Inc.
40         | 2          | 1      | AMAT   | Applied Materials Inc
41         | 1          | 1      | ADM    | Archer-Daniels-Midland Co
42         | 1          | 1      | AIZ    | Assurant Inc
43         | 1          | 1      | T      | AT&T Inc
44         | 2          | 1      | ADSK   | Autodesk Inc
45         | 2          | 1      | ADP    | Automatic Data Processing
46         | 1          | 1      | A      | AutoNation Inc
47         | 1          | 1      | AZO    | AutoZone Inc
48         | 1          | 1      | AVB    | AvalonBay Communities, Inc.
49         | 1          | 1      | AVY    | Avery Dennison Corp
50         | 1          | 1      | AVP    | Avon Products
51         | 1          | 1      | BHI    | Baker Hughes Inc
52         | 1          | 1      | BLL    | Ball Corp
53         | 1          | 1      | BAC    | Bank of America Corp
54         | 1          | 1      | BK     | The Bank of New York Mellon Corp.
55         | 1          | 1      | BCR    | Bard (C.R.) Inc.
56         | 1          | 1      | BAX    | Baxter International Inc.
57         | 1          | 1      | BBT    | BB&T Corporation,
58         | 1          | 1      | BEAM   | Beam Inc.
